EmployeeID,Product-A,Product-B,Product-C,Product-D,Product-E,Product-F,Product-G,Product-H,Product-I,Product-J
E1000,238,124,386,1487,1318,490,722,129,1438,620
E1001,1396,540,63,277,1045,286,592,427,618,1349
E1002,449,860,1099,880,265,492,1211,1097,1041,352
E1003,855,620,739,459,71,423,844,1243,1450,1257
E1004,90,1119,626,298,513,488,1271,166,522,412
E1005,943,1142,1321,411,853,152,1212,210,718,1181
E1006,273,1150,967,189,396,726,1423,635,294,1168
E1007,1137,1084,1287,860,145,946,846,1304,240,1167
E1008,191,1475,779,194,1004,927,543,1121,213,1473
E1009,731,611,1461,907,754,736,1145,364,693,569
E1010,1422,1245,673,1164,785,1011,140,454,129,1198
E1011,1110,462,535,1400,1288,517,962,164,478,491
E1012,254,474,291,1017,692,905,651,192,1320,696
E1013,1132,281,1208,1161,388,1223,619,253,1126,1084
E1014,672,1242,203,220,1480,1069,113,1128,436,1376
E1015,773,1390,234,219,488,104,1028,283,145,169
E1016,994,1469,1168,809,941,55,326,978,119,1409
E1017,498,1473,247,267,915,69,610,1140,1186,850
E1018,626,1049,344,904,260,74,394,1423,413,1463
E1019,513,842,1141,885,1303,988,276,780,1389,991
E1020,890,1439,785,1013,918,562,577,413,1185,1197
E1021,374,842,502,982,957,107,130,338,1316,1383
E1022,1184,396,1431,483,1175,337,673,998,1046,150
E1023,824,1191,609,480,1447,1267,435,971,742,434
E1024,97,395,241,1492,1177,1281,794,576,261,1365
E1025,226,966,199,184,289,709,779,779,913,842
E1026,1430,107,357,692,957,82,599,502,342,861
E1027,1401,499,1176,703,1446,1451,1429,1015,460,383
E1028,140,120,888,1263,1071,1363,1140,1343,170,1165
E1029,346,883,204,548,401,986,100,787,1268,877
E1030,813,87,1214,1435,921,134,276,381,1172,1404
E1031,288,187,192,247,632,1392,118,310,119,1232
E1032,1254,847,1494,602,378,1185,665,1402,1351,241
E1033,606,310,1160,1347,185,1232,1149,703,554,167
E1034,215,850,903,1348,190,761,1164,1405,978,96
E1035,930,162,859,307,235,689,337,771,937,1266
E1036,91,685,1366,180,530,1341,1431,431,676,367
E1037,1089,159,464,673,728,275,641,766,850,460
E1038,641,1446,67,788,978,62,1301,1186,81,1274
E1039,320,71,988,1280,1455,128,163,776,127,1246
E1040,562,315,72,370,59,883,580,1165,1080,83
E1041,219,1171,752,242,831,71,771,1483,911,819
E1042,443,648,1261,67,853,969,556,664,968,1271
E1043,678,897,1341,1222,223,891,841,793,725,175
E1044,129,131,888,1442,802,1304,1368,1033,917,1020
E1045,1049,174,666,653,572,1172,987,1424,533,1464
E1046,1470,1040,535,373,1349,918,401,1068,662,1403
E1047,449,146,1482,1244,941,373,1290,291,390,1266
E1048,1057,1058,622,1442,703,1190,1288,483,162,747
E1049,161,492,329,704,1035,154,289,458,1192,554
E1050,1080,466,879,937,1287,534,915,347,1496,1473
E1051,842,258,1100,98,1261,1034,312,1102,693,1416
E1052,1114,223,889,1257,156,1327,1286,118,1065,1062
E1053,178,534,1111,1171,696,1180,123,628,344,897
E1054,436,1023,1110,1150,847,1245,1020,839,1251,988
E1055,1414,569,172,1132,683,527,71,823,243,626
E1056,903,666,1137,74,1330,1236,954,123,1231,1249
E1057,834,1076,344,889,792,83,182,185,478,1356
E1058,1331,227,1138,1286,1329,1301,951,1287,1089,543
E1059,1393,1197,1337,1234,693,1091,829,452,1158,748
E1060,70,1175,970,853,1469,448,486,454,916,254
E1061,361,390,72,138,1367,1232,1079,1500,581,678
E1062,1162,828,356,1007,380,699,199,437,1193,569
E1063,193,733,126,687,905,1487,1263,106,1181,73
E1064,371,755,813,695,1076,1398,232,380,168,273
E1065,1370,1375,708,924,211,1405,639,278,936,180
E1066,688,86,660,871,317,1354,94,1311,906,311
E1067,1301,209,455,143,338,325,269,1237,1401,1051
E1068,681,773,233,711,897,556,949,1227,837,111
E1069,1188,441,844,216,142,830,62,1185,1168,1272
E1070,638,1071,315,723,457,203,1361,1245,943,1003
E1071,1337,1229,65,870,1441,247,1453,1450,582,376
E1072,1440,1477,647,1481,784,536,1412,298,1003,784
E1073,603,1303,947,721,286,1080,1158,287,825,1357
E1074,842,1217,1200,1158,498,1293,83,1232,1456,126
E1075,335,737,1476,1204,193,1037,940,816,1342,692
E1076,153,1215,890,712,1140,645,1171,968,1061,339
E1077,110,1302,487,1141,1346,249,970,1370,1417,590
E1078,149,1310,451,99,662,239,357,69,73,1356
E1079,960,222,1251,173,1331,534,74,1063,182,1063
E1080,762,528,734,1407,226,925,132,927,1377,373
E1081,1315,85,157,1124,1077,1340,424,1383,733,1161
E1082,1252,304,487,288,733,1301,192,1326,135,1148
E1083,775,184,628,332,1194,82,67,1364,1377,1194
E1084,1295,1437,627,208,122,1393,857,535,488,604
E1085,67,1353,1403,1379,917,770,719,361,550,1319
E1086,1360,589,650,1240,164,527,117,1209,947,416
E1087,538,1222,1237,995,1085,1151,1206,1195,1282,319
E1088,449,1463,867,1051,946,572,1312,290,209,540
E1089,1292,157,468,374,1003,951,829,1060,1445,663
E1090,1473,1369,698,605,197,755,850,923,1167,1215
E1091,813,395,1281,1445,1317,308,751,155,754,821
E1092,550,1437,1078,992,1500,514,1174,1084,480,605
E1093,1369,821,155,328,654,996,735,297,1428,1407
E1094,624,306,629,802,1473,659,1255,1471,233,236
E1095,284,358,1177,757,868,763,1213,351,930,820
E1096,661,1048,1257,787,686,356,737,885,1415,818
E1097,643,199,1335,448,1204,1480,289,495,73,708
E1098,350,74,736,1395,61,170,1395,339,696,979
E1099,628,945,773,308,118,462,391,1169,1405,760
